time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4593.445225	75.549179	1.731213	0.078255	23
4595.487911	75.708878	1.724565	0.083865	25
4597.533316	75.847275	1.719698	0.088601	27
4599.576913	75.930183	1.718254	0.095019	29
4601.622698	75.961876	1.716402	0.100005	31
4603.667026	75.748955	1.713396	0.105856	33
4605.711970	75.806557	1.712847	0.108792	35
4607.757162	75.762482	1.706463	0.114562	37
4609.801865	76.134659	1.702244	0.119335	39
4611.845990	76.216438	1.706071	0.123687	41
4613.889087	76.321976	1.703580	0.129098	43
4615.932204	76.435577	1.690629	0.136079	45
4617.977050	76.662361	1.680666	0.142749	47
4620.023733	76.684029	1.681788	0.147009	49
4622.069233	76.524681	1.679322	0.151426	51
4624.114261	76.693527	1.677184	0.155880	53
4626.158484	76.869415	1.678310	0.160643	55
4628.201687	77.042496	1.675351	0.165743	57
4630.244692	77.241524	1.667976	0.171492	59
4632.289297	77.567123	1.660617	0.178378	61
4634.333841	77.929665	1.657891	0.184614	63
4636.378667	78.157768	1.655562	0.190173	65
4638.423679	78.336716	1.652685	0.195346	67
4640.467917	78.599770	1.650904	0.200712	69
4642.512347	78.827866	1.644916	0.205612	71
4644.557040	78.908173	1.642330	0.210290	73
4646.602308	78.832024	1.637252	0.215736	75
4648.648651	78.662987	1.635244	0.220806	77
4650.694593	78.315773	1.629445	0.227304	79
4652.739983	77.913933	1.628757	0.233871	81
4654.783463	78.185539	1.634478	0.238695	83
4656.827467	78.982880	1.637345	0.244247	85
4658.870210	79.962532	1.631520	0.249046	87
4660.913985	80.615860	1.619207	0.252881	89
4662.958579	80.672966	1.614270	0.258306	91
4665.004129	80.513504	1.612798	0.263930	93
4667.050413	80.341080	1.612483	0.269738	95
4669.096043	80.160645	1.605042	0.275623	97
4671.141637	80.159256	1.604121	0.282282	99
4673.186353	80.294350	1.601514	0.288015	101
4675.231236	80.572578	1.597290	0.293004	103
4677.275922	80.961792	1.592497	0.297284	105
4679.320091	81.349281	1.588527	0.301004	107
4681.364285	81.639847	1.586178	0.305424	109
4683.407512	82.195724	1.587446	0.312537	111
4685.451480	82.628258	1.578478	0.318664	113
4687.495949	83.074699	1.568563	0.324751	115
4689.541121	83.308594	1.564519	0.329854	117
4691.587363	83.173904	1.566512	0.334560	119
4693.633064	83.010963	1.565370	0.338962	121
4695.678100	82.852203	1.559265	0.342119	123
4697.723378	83.005852	1.553815	0.347447	125
4699.768382	83.403358	1.551801	0.352205	127
4701.812334	83.899765	1.552193	0.356412	129
4703.856183	84.395287	1.551001	0.361712	131
4705.899925	84.925095	1.550847	0.367814	133
4707.944234	85.366005	1.542687	0.373073	135
4709.988589	85.792740	1.536682	0.378662	137
4712.033376	86.182251	1.532140	0.384393	139
4714.078398	86.489029	1.528751	0.389210	141
4716.123688	86.764229	1.524680	0.393271	143
4718.168963	86.938210	1.520840	0.397536	145
4720.215116	87.028702	1.518471	0.403215	147
4722.261648	87.057800	1.514950	0.408639	149
4724.307737	87.014854	1.507987	0.413296	151
4726.353613	86.981537	1.501171	0.418237	153
4728.398772	87.008011	1.496668	0.421928	155
4730.443267	87.309525	1.498630	0.426646	157
4732.487621	87.861710	1.498365	0.430010	159
4734.531685	88.561607	1.498640	0.435045	161
4736.575797	89.433434	1.496758	0.439618	163
4738.619956	90.192795	1.490285	0.444650	165
4740.664083	90.783058	1.481355	0.448297	167
4742.708807	91.150459	1.472680	0.450470	169
4744.754175	91.336113	1.467269	0.453406	171
4746.800352	91.494606	1.466367	0.457907	173
4748.846772	91.609253	1.463280	0.462198	175
4750.892719	91.870369	1.459801	0.466204	177
4752.938794	92.131958	1.451317	0.467745	179
4754.983725	92.470497	1.448298	0.472837	181
4757.029445	92.923859	1.447618	0.477905	183
4759.073614	93.497009	1.445075	0.482261	185
4761.117999	93.994339	1.439991	0.486440	187
4763.162704	94.536072	1.434234	0.491472	189
4765.208165	95.053894	1.428518	0.496591	191
4767.254211	95.383499	1.423187	0.500000	193
